order_id,amount,profit,quantity,category,sub_category,payment_mode,order_date,customer_name,state,city,year_month,transaction_id,
B-25295,2025,528,1,Office Supplies,Pens,Credit Card,1/28/2024,Paul Rogers,Florida,Miami,2024-01,B-25295_PaulRogers_2024-01-28,
B-26121,1126,55,1,Furniture,Bookcases,UPI,1/16/2022,Jon Banks,Florida,Tampa,2022-01,B-26121_JonBanks_2022-01-16,
B-26121,1126,55,1,Furniture,Bookcases,UPI,12/16/2022,Michelle Williams,New York,Buffalo,2022-12,B-26121_MichelleWilliams_2022-12-16,
B-25560,7533,3508,12,Furniture,Tables,UPI,7/13/2023,Andrew Allen,California,San Diego,2023-07,B-25560_AndrewAllen_2023-07-13,
B-26076,2750,1239,11,Electronics,Phones,Debit Card,3/10/2025,Vanessa Bauer,New York,Buffalo,2025-03,B-26076_VanessaBauer_2025-03-10,
B-26076,2750,1239,11,Electronics,Phones,Debit Card,9/24/2024,Sean Smith,Ohio,Cleveland,2024-09,B-26076_SeanSmith_2024-09-24,
B-25872,3808,1192,4,Office Supplies,Markers,UPI,4/13/2020,Shelly Sweeney,New York,New York City,2020-04,B-25872_ShellySweeney_2020-04-13,
B-26185,1591,727,5,Electronics,Electronic Games,Credit Card,6/27/2022,Emily Gill,Illinois,Springfield,2022-06,B-26185_EmilyGill_2022-06-27,
B-26185,1591,727,5,Electronics,Electronic Games,Credit Card,3/14/2021,Brian Patrick,Florida,Tampa,2021-03,B-26185_BrianPatrick_2021-03-14,
B-26185,1591,727,5,Electronics,Electronic Games,Credit Card,2/23/2022,Dr. Sarah Booth,Ohio,Cincinnati,2022-02,B-26185_Dr.SarahBooth_2022-02-23,
B-26259,1757,622,10,Furniture,Chairs,UPI,3/29/2022,Douglas Mcfarland,Ohio,Cleveland,2022-03,B-26259_DouglasMcfarland_2022-03-29,
B-26259,1757,622,10,Furniture,Chairs,UPI,11/20/2022,Kayla Ross,Illinois,Peoria,2022-11,B-26259_KaylaRoss_2022-11-20,
B-25142,6940,253,15,Furniture,Bookcases,Debit Card,11/12/2021,Marc Strickland,Florida,Orlando,2021-11,B-25142_MarcStrickland_2021-11-12,
B-25326,5578,277,16,Furniture,Tables,COD,8/17/2021,Charlene Brown,Florida,Miami,2021-08,B-25326_CharleneBrown_2021-08-17,
B-25326,5578,277,16,Furniture,Tables,COD,5/16/2022,Charles Smith,Ohio,Columbus,2022-05,B-25326_CharlesSmith_2022-05-16,
B-26795,5224,1958,16,Furniture,Chairs,Credit Card,7/16/2023,Karen Townsend,Texas,Houston,2023-07,B-26795_KarenTownsend_2023-07-16,
B-25660,7595,2873,4,Furniture,Chairs,Debit Card,8/18/2020,Steven Cox,California,Los Angeles,2020-08,B-25660_StevenCox_2020-08-18,
B-25660,7595,2873,4,Furniture,Chairs,Debit Card,4/19/2022,Cynthia Rodriguez,New York,Rochester,2022-04,B-25660_CynthiaRodriguez_2022-04-19,
B-25410,1954,294,7,Furniture,Sofas,Debit Card,12/23/2022,Jessica Baker,Texas,Austin,2022-12,B-25410_JessicaBaker_2022-12-23,
B-25690,523,95,20,Electronics,Printers,EMI,12/7/2024,Mark Blackburn,Texas,Dallas,2024-12,B-25690_MarkBlackburn_2024-12-07,
B-26464,5704,714,13,Electronics,Laptops,EMI,2/3/2022,Zachary Perez,Texas,Austin,2022-02,B-26464_ZacharyPerez_2022-02-03,
B-26464,5704,714,13,Electronics,Laptops,EMI,12/12/2021,Brian Green,California,San Diego,2021-12,B-26464_BrianGreen_2021-12-12,
B-26454,9109,586,17,Furniture,Sofas,EMI,5/17/2020,Becky Leach,Florida,Miami,2020-05,B-26454_BeckyLeach_2020-05-17,
B-26742,4358,526,19,Electronics,Phones,Credit Card,12/5/2022,Bryan Russell,Texas,Dallas,2022-12,B-26742_BryanRussell_2022-12-05,
B-26742,4358,526,19,Electronics,Phones,Credit Card,9/17/2024,Tony Maddox,California,San Francisco,2024-09,B-26742_TonyMaddox_2024-09-17,
B-25510,2478,92,12,Furniture,Bookcases,COD,5/8/2023,Jason Randolph,California,San Francisco,2023-05,B-25510_JasonRandolph_2023-05-08,
B-25510,2478,92,12,Furniture,Bookcases,COD,3/3/2021,Laura Andrews,New York,New York City,2021-03,B-25510_LauraAndrews_2021-03-03,
B-25510,2478,92,12,Furniture,Bookcases,COD,3/18/2021,Mrs. Stephanie Hooper,California,San Francisco,2021-03,B-25510_Mrs.StephanieHooper_2021-03-18,
B-25510,2478,92,12,Furniture,Bookcases,COD,4/24/2023,Anthony Evans,Ohio,Cleveland,2023-04,B-25510_AnthonyEvans_2023-04-24,
B-25936,9992,3696,20,Office Supplies,Pens,Debit Card,10/9/2021,Patrick Williams,New York,Rochester,2021-10,B-25936_PatrickWilliams_2021-10-09,
B-25936,9992,3696,20,Office Supplies,Pens,Debit Card,4/15/2022,Susan Burke,Texas,Austin,2022-04,B-25936_SusanBurke_2022-04-15,
B-25936,9992,3696,20,Office Supplies,Pens,Debit Card,8/29/2022,Brent Hernandez,New York,Rochester,2022-08,B-25936_BrentHernandez_2022-08-29,
B-25884,9538,3158,20,Electronics,Printers,Credit Card,9/4/2024,Sean Elliott,California,San Francisco,2024-09,B-25884_SeanElliott_2024-09-04,
B-25884,9538,3158,20,Electronics,Printers,Credit Card,5/18/2021,Wanda West,Ohio,Cleveland,2021-05,B-25884_WandaWest_2021-05-18,
B-26287,2684,670,2,Office Supplies,Paper,COD,7/2/2024,Renee Solomon,Florida,Tampa,2024-07,B-26287_ReneeSolomon_2024-07-02,
B-26564,1297,600,7,Office Supplies,Binders,Credit Card,2/16/2024,Daryl Miles,Florida,Orlando,2024-02,B-26564_DarylMiles_2024-02-16,
B-26293,9768,4518,8,Furniture,Tables,Credit Card,11/26/2021,Michael Hunt,Texas,Dallas,2021-11,B-26293_MichaelHunt_2021-11-26,
B-25915,3433,1169,10,Office Supplies,Binders,COD,2/1/2024,Adam Clark,California,San Francisco,2024-02,B-25915_AdamClark_2024-02-01,
B-25915,3433,1169,10,Office Supplies,Binders,COD,9/9/2021,Amy Olsen,Illinois,Springfield,2021-09,B-25915_AmyOlsen_2021-09-09,
B-25915,3433,1169,10,Office Supplies,Binders,COD,9/8/2021,Stacey Miller,California,San Diego,2021-09,B-25915_StaceyMiller_2021-09-08,
B-26496,1801,641,20,Office Supplies,Markers,Credit Card,7/9/2024,Daniel Mosley,California,Los Angeles,2024-07,B-26496_DanielMosley_2024-07-09,
B-25856,3428,350,1,Furniture,Chairs,Credit Card,2/28/2023,Monica Gibson,Illinois,Springfield,2023-02,B-25856_MonicaGibson_2023-02-28,
B-26899,8903,4401,18,Office Supplies,Pens,Credit Card,8/8/2022,Christopher Jordan,Ohio,Columbus,2022-08,B-26899_ChristopherJordan_2022-08-08,
B-25916,6009,2107,7,Electronics,Phones,UPI,12/7/2022,Christina Davis,Illinois,Chicago,2022-12,B-25916_ChristinaDavis_2022-12-07,
B-25916,6009,2107,7,Electronics,Phones,UPI,4/29/2024,Claudia Curry,Texas,Austin,2024-04,B-25916_ClaudiaCurry_2024-04-29,
B-26428,706,197,11,Electronics,Laptops,Credit Card,1/2/2022,Brandon Anderson,Texas,Austin,2022-01,B-26428_BrandonAnderson_2022-01-02,
B-26332,9835,2571,16,Furniture,Tables,COD,6/10/2022,George Foster,Texas,Dallas,2022-06,B-26332_GeorgeFoster_2022-06-10,
B-26332,9835,2571,16,Furniture,Tables,COD,11/16/2021,Nicholas Anderson,Florida,Orlando,2021-11,B-26332_NicholasAnderson_2021-11-16,
B-26332,9835,2571,16,Furniture,Tables,COD,8/17/2022,Emily Ellison,California,Los Angeles,2022-08,B-26332_EmilyEllison_2022-08-17,
B-25303,770,241,11,Furniture,Sofas,COD,11/23/2021,Darren Perez,Texas,Austin,2021-11,B-25303_DarrenPerez_2021-11-23,
B-25303,770,241,11,Furniture,Sofas,COD,3/4/2023,Michelle Hunter,Ohio,Cincinnati,2023-03,B-25303_MichelleHunter_2023-03-04,
B-26507,9895,1598,20,Furniture,Bookcases,COD,12/16/2023,Janet Guerrero,New York,Rochester,2023-12,B-26507_JanetGuerrero_2023-12-16,
B-25983,6517,1581,10,Office Supplies,Paper,Debit Card,5/19/2024,Jeffrey Kline,Florida,Miami,2024-05,B-25983_JeffreyKline_2024-05-19,
B-25983,6517,1581,10,Office Supplies,Paper,Debit Card,5/14/2020,Ryan Bullock,Florida,Tampa,2020-05,B-25983_RyanBullock_2020-05-14,
B-25156,9820,793,16,Furniture,Chairs,Credit Card,8/29/2021,Tom Lawson,New York,Buffalo,2021-08,B-25156_TomLawson_2021-08-29,
B-26759,8563,2624,8,Office Supplies,Binders,COD,11/10/2024,Rebecca Smith,Texas,Dallas,2024-11,B-26759_RebeccaSmith_2024-11-10,
B-26244,7340,2271,8,Office Supplies,Paper,EMI,12/5/2021,William Welch,Florida,Orlando,2021-12,B-26244_WilliamWelch_2021-12-05,
B-26365,1895,391,14,Furniture,Tables,UPI,7/5/2024,Mr. Curtis Bailey,Florida,Tampa,2024-07,B-26365_Mr.CurtisBailey_2024-07-05,
B-26212,8850,279,13,Office Supplies,Markers,Debit Card,6/25/2024,Janet Carlson,Florida,Miami,2024-06,B-26212_JanetCarlson_2024-06-25,
B-25042,6903,105,1,Furniture,Tables,COD,5/31/2024,Spencer Spears,Illinois,Chicago,2024-05,B-25042_SpencerSpears_2024-05-31,
B-25901,9883,4812,16,Office Supplies,Paper,UPI,10/20/2020,Jeffrey Middleton,New York,Buffalo,2020-10,B-25901_JeffreyMiddleton_2020-10-20,
B-25901,9883,4812,16,Office Supplies,Paper,UPI,8/11/2022,Veronica Kelley,Florida,Orlando,2022-08,B-25901_VeronicaKelley_2022-08-11,
B-25901,9883,4812,16,Office Supplies,Paper,UPI,10/17/2021,Leslie Bean,Illinois,Springfield,2021-10,B-25901_LeslieBean_2021-10-17,
B-26747,3574,851,4,Electronics,Printers,Credit Card,2/23/2022,Amy Wilson,California,Los Angeles,2022-02,B-26747_AmyWilson_2022-02-23,
B-26698,1860,457,13,Electronics,Printers,EMI,9/20/2023,Susan Ramirez,Ohio,Cleveland,2023-09,B-26698_SusanRamirez_2023-09-20,
B-25841,782,374,8,Office Supplies,Pens,EMI,1/19/2021,Jacob Meyer,Illinois,Peoria,2021-01,B-25841_JacobMeyer_2021-01-19,
B-26032,8346,1176,1,Electronics,Phones,COD,8/21/2020,Scott Lewis,Texas,Houston,2020-08,B-26032_ScottLewis_2020-08-21,
B-26032,8346,1176,1,Electronics,Phones,COD,4/17/2023,Eric Griffith,Illinois,Chicago,2023-04,B-26032_EricGriffith_2023-04-17,
B-26032,8346,1176,1,Electronics,Phones,COD,12/24/2023,Anna Ferguson,California,San Francisco,2023-12,B-26032_AnnaFerguson_2023-12-24,
B-25171,3234,1029,20,Office Supplies,Markers,Credit Card,3/20/2022,David Figueroa,Florida,Miami,2022-03,B-25171_DavidFigueroa_2022-03-20,
B-26939,4920,775,12,Furniture,Tables,Debit Card,8/12/2021,Theresa Medina,Illinois,Springfield,2021-08,B-26939_TheresaMedina_2021-08-12,
B-26347,8586,3826,7,Furniture,Bookcases,UPI,12/21/2020,Mary Smith,Florida,Miami,2020-12,B-26347_MarySmith_2020-12-21,
B-26347,8586,3826,7,Furniture,Bookcases,UPI,7/7/2023,Lance Cain,Florida,Tampa,2023-07,B-26347_LanceCain_2023-07-07,
B-25388,5047,2211,13,Furniture,Sofas,EMI,8/13/2023,Alexandra Moran,California,San Francisco,2023-08,B-25388_AlexandraMoran_2023-08-13,
B-25388,5047,2211,13,Furniture,Sofas,EMI,2/4/2021,Sara Castro,Illinois,Chicago,2021-02,B-25388_SaraCastro_2021-02-04,
B-25388,5047,2211,13,Furniture,Sofas,EMI,9/16/2022,Shawn Leach,Illinois,Peoria,2022-09,B-25388_ShawnLeach_2022-09-16,
B-25388,5047,2211,13,Furniture,Sofas,EMI,5/6/2022,Mark Boyle,New York,Buffalo,2022-05,B-25388_MarkBoyle_2022-05-06,
B-26419,3657,163,1,Furniture,Sofas,UPI,5/28/2021,John Stevens,California,San Francisco,2021-05,B-26419_JohnStevens_2021-05-28,
B-25157,6471,2842,18,Electronics,Electronic Games,UPI,7/18/2024,Lisa Graham,Illinois,Peoria,2024-07,B-25157_LisaGraham_2024-07-18,
B-25342,949,301,9,Office Supplies,Binders,UPI,12/6/2024,Nancy Jones,Ohio,Cleveland,2024-12,B-25342_NancyJones_2024-12-06,
B-26165,6671,2797,10,Electronics,Phones,UPI,12/12/2022,Darryl Robbins,Illinois,Peoria,2022-12,B-26165_DarrylRobbins_2022-12-12,
B-26571,7472,1037,3,Office Supplies,Paper,COD,10/20/2022,Kimberly Smith,Illinois,Springfield,2022-10,B-26571_KimberlySmith_2022-10-20,
B-25400,7759,3741,17,Electronics,Printers,UPI,3/24/2021,Maria Thomas,Florida,Miami,2021-03,B-25400_MariaThomas_2021-03-24,
B-25400,7759,3741,17,Electronics,Printers,UPI,1/6/2025,Nicholas Johnson,Texas,Dallas,2025-01,B-25400_NicholasJohnson_2025-01-06,
B-25885,9704,4339,12,Office Supplies,Pens,COD,3/6/2021,Dawn Howard,Texas,Houston,2021-03,B-25885_DawnHoward_2021-03-06,
B-25004,9965,3033,16,Office Supplies,Markers,COD,6/17/2020,Jennifer Marshall,California,San Francisco,2020-06,B-25004_JenniferMarshall_2020-06-17,
B-25004,9965,3033,16,Office Supplies,Markers,COD,9/1/2023,Frank Garcia,New York,Buffalo,2023-09,B-25004_FrankGarcia_2023-09-01,
B-26213,1523,234,3,Furniture,Sofas,UPI,6/8/2023,Terri Madden,New York,Rochester,2023-06,B-26213_TerriMadden_2023-06-08,
B-25025,6447,3079,20,Electronics,Laptops,COD,3/25/2021,James Gutierrez,New York,Rochester,2021-03,B-25025_JamesGutierrez_2021-03-25,
B-26804,914,400,8,Office Supplies,Pens,Debit Card,1/3/2021,Morgan Sellers,California,Los Angeles,2021-01,B-26804_MorganSellers_2021-01-03,
B-26797,2759,1149,6,Furniture,Tables,Credit Card,12/27/2024,Caitlin Thomas,New York,New York City,2024-12,B-26797_CaitlinThomas_2024-12-27,
B-26556,1341,615,4,Electronics,Laptops,UPI,8/12/2022,Kimberly Greene,Florida,Orlando,2022-08,B-26556_KimberlyGreene_2022-08-12,
B-25861,9851,2669,19,Electronics,Electronic Games,Debit Card,3/28/2022,Tammy Anthony,Ohio,Cleveland,2022-03,B-25861_TammyAnthony_2022-03-28,
B-25861,9851,2669,19,Electronics,Electronic Games,Debit Card,7/15/2023,Jennifer Chase,New York,Buffalo,2023-07,B-25861_JenniferChase_2023-07-15,
B-25861,9851,2669,19,Electronics,Electronic Games,Debit Card,9/22/2022,Cassandra Farley,Florida,Orlando,2022-09,B-25861_CassandraFarley_2022-09-22,
B-25112,7421,958,10,Furniture,Tables,COD,12/20/2022,Justin Vasquez,Texas,Houston,2022-12,B-25112_JustinVasquez_2022-12-20,
B-25112,7421,958,10,Furniture,Tables,COD,1/16/2022,Melissa Morales,Texas,Houston,2022-01,B-25112_MelissaMorales_2022-01-16,
B-25112,7421,958,10,Furniture,Tables,COD,1/29/2023,Tyler Thompson,Texas,Dallas,2023-01,B-25112_TylerThompson_2023-01-29,
B-25223,3099,479,1,Office Supplies,Paper,COD,1/15/2022,Heidi Davis,New York,Buffalo,2022-01,B-25223_HeidiDavis_2022-01-15,
B-25714,6962,3429,12,Electronics,Electronic Games,UPI,3/24/2024,Charles Lane,Texas,Dallas,2024-03,B-25714_CharlesLane_2024-03-24,
B-25714,6962,3429,12,Electronics,Electronic Games,UPI,2/19/2025,Joyce Good MD,Florida,Miami,2025-02,B-25714_JoyceGoodMD_2025-02-19,
B-26607,1085,301,20,Furniture,Bookcases,UPI,7/13/2024,Maria Miller,New York,Buffalo,2024-07,B-26607_MariaMiller_2024-07-13,
B-25038,738,342,2,Furniture,Chairs,Debit Card,4/28/2023,Terry Mcdaniel,Ohio,Cincinnati,2023-04,B-25038_TerryMcdaniel_2023-04-28,
B-25038,738,342,2,Furniture,Chairs,Debit Card,12/5/2020,Lisa Jacobs,New York,Buffalo,2020-12,B-25038_LisaJacobs_2020-12-05,
B-25038,738,342,2,Furniture,Chairs,Debit Card,5/14/2024,Jeff Duncan,Ohio,Cincinnati,2024-05,B-25038_JeffDuncan_2024-05-14,
B-25038,738,342,2,Furniture,Chairs,Debit Card,1/18/2022,Pamela Jones,New York,New York City,2022-01,B-25038_PamelaJones_2022-01-18,
B-26672,1366,242,17,Electronics,Electronic Games,EMI,9/18/2023,Renee Robinson,Ohio,Columbus,2023-09,B-26672_ReneeRobinson_2023-09-18,
B-25747,2962,1470,1,Electronics,Phones,COD,5/12/2021,Jessica Kidd,New York,Buffalo,2021-05,B-25747_JessicaKidd_2021-05-12,
B-25747,2962,1470,1,Electronics,Phones,COD,9/17/2023,Nicholas Martin,Florida,Tampa,2023-09,B-25747_NicholasMartin_2023-09-17,
B-26322,5934,1563,2,Office Supplies,Markers,EMI,9/6/2024,David Brown,Illinois,Peoria,2024-09,B-26322_DavidBrown_2024-09-06,
B-26613,2701,322,11,Electronics,Printers,UPI,6/18/2022,Amber Moore,New York,New York City,2022-06,B-26613_AmberMoore_2022-06-18,
B-25413,2465,699,18,Office Supplies,Markers,Debit Card,5/22/2020,James Williams,California,San Francisco,2020-05,B-25413_JamesWilliams_2020-05-22,
B-26466,3479,1087,2,Office Supplies,Markers,EMI,10/17/2024,Karina Barr,Texas,Dallas,2024-10,B-26466_KarinaBarr_2024-10-17,
B-26610,4957,1152,8,Office Supplies,Markers,Credit Card,3/22/2022,Meghan Rush,Ohio,Cleveland,2022-03,B-26610_MeghanRush_2022-03-22,
B-26209,4404,858,17,Office Supplies,Pens,Debit Card,3/17/2024,Bianca Brown,Ohio,Columbus,2024-03,B-26209_BiancaBrown_2024-03-17,
B-26622,9536,1437,9,Electronics,Phones,UPI,4/2/2020,Timothy Jensen,Florida,Orlando,2020-04,B-26622_TimothyJensen_2020-04-02,
B-26601,9574,4045,19,Furniture,Bookcases,UPI,3/13/2024,Melinda Montoya,California,San Francisco,2024-03,B-26601_MelindaMontoya_2024-03-13,
B-25894,8200,257,19,Electronics,Laptops,COD,3/21/2023,Tammy Bell,Ohio,Cincinnati,2023-03,B-25894_TammyBell_2023-03-21,
B-26969,3348,568,5,Office Supplies,Markers,Credit Card,3/2/2024,Connie Richards,Ohio,Cleveland,2024-03,B-26969_ConnieRichards_2024-03-02,
B-26969,3348,568,5,Office Supplies,Markers,Credit Card,4/30/2021,Peter Ward,New York,Rochester,2021-04,B-26969_PeterWard_2021-04-30,
B-26312,1760,619,16,Furniture,Sofas,Debit Card,9/15/2021,Jonathan Alvarez,Ohio,Columbus,2021-09,B-26312_JonathanAlvarez_2021-09-15,
B-26312,1760,619,16,Furniture,Sofas,Debit Card,1/28/2023,Becky Hodges,Texas,Houston,2023-01,B-26312_BeckyHodges_2023-01-28,
B-26837,869,373,14,Office Supplies,Paper,Credit Card,7/8/2021,Larry Hill,New York,New York City,2021-07,B-26837_LarryHill_2021-07-08,
B-26837,869,373,14,Office Supplies,Paper,Credit Card,4/8/2020,Amber Moon,Ohio,Cleveland,2020-04,B-26837_AmberMoon_2020-04-08,
B-26166,2999,145,13,Office Supplies,Binders,COD,8/23/2022,Cynthia Wilcox,Illinois,Chicago,2022-08,B-26166_CynthiaWilcox_2022-08-23,
B-25695,1239,575,17,Electronics,Laptops,UPI,12/17/2022,Rebecca Wright,New York,Rochester,2022-12,B-25695_RebeccaWright_2022-12-17,
B-25695,1239,575,17,Electronics,Laptops,UPI,6/8/2022,Sarah Flores,Illinois,Springfield,2022-06,B-25695_SarahFlores_2022-06-08,
B-26068,1033,254,5,Furniture,Bookcases,COD,8/28/2020,Carol Norman,New York,Rochester,2020-08,B-26068_CarolNorman_2020-08-28,
B-26023,1518,159,19,Electronics,Printers,UPI,9/26/2020,Stephanie Gardner,California,San Diego,2020-09,B-26023_StephanieGardner_2020-09-26,
B-26677,8581,2444,2,Office Supplies,Paper,Debit Card,12/13/2020,Philip Baker,Illinois,Peoria,2020-12,B-26677_PhilipBaker_2020-12-13,
B-26677,8581,2444,2,Office Supplies,Paper,Debit Card,11/19/2020,Randall Dennis,Florida,Orlando,2020-11,B-26677_RandallDennis_2020-11-19,
B-25701,1167,463,5,Office Supplies,Pens,UPI,9/13/2023,Suzanne Cross,Texas,Austin,2023-09,B-25701_SuzanneCross_2023-09-13,
B-26523,8204,2382,6,Office Supplies,Pens,UPI,3/31/2020,Jasmine Delgado,Illinois,Chicago,2020-03,B-26523_JasmineDelgado_2020-03-31,
B-26523,8204,2382,6,Office Supplies,Pens,UPI,10/20/2020,Kristen Harper,New York,Buffalo,2020-10,B-26523_KristenHarper_2020-10-20,
B-25880,907,391,9,Office Supplies,Pens,Credit Card,8/4/2023,Kaitlyn Graham MD,New York,New York City,2023-08,B-25880_KaitlynGrahamMD_2023-08-04,
B-26898,2174,265,19,Office Supplies,Pens,Credit Card,4/11/2022,Dean Avila,Ohio,Cincinnati,2022-04,B-26898_DeanAvila_2022-04-11,
B-26035,1281,340,3,Electronics,Electronic Games,Debit Card,12/31/2021,Megan Mack,Texas,Austin,2021-12,B-26035_MeganMack_2021-12-31,
B-25573,2119,196,1,Furniture,Sofas,COD,8/16/2020,Heather Johnson,California,Los Angeles,2020-08,B-25573_HeatherJohnson_2020-08-16,
B-25463,3137,571,9,Office Supplies,Pens,Debit Card,2/2/2025,Tina Davies,Illinois,Chicago,2025-02,B-25463_TinaDavies_2025-02-02,
B-26277,2323,727,7,Furniture,Tables,COD,2/24/2022,Matthew Harris,Texas,Dallas,2022-02,B-26277_MatthewHarris_2022-02-24,
