order_id,amount,profit,quantity,category,sub_category,payment_mode,order_date,customer_name,state,city,year_month
B-25553,9380.0,414.0,11,Electronics,Phones,UPI,2024-05-30,Karen Johnson,New York,Rochester,2024-05
B-25553,8558.0,1644.0,18,Office Supplies,Binders,Credit Card,2024-05-30,Karen Johnson,New York,Rochester,2024-05
B-25553,4080.0,72.0,17,Office Supplies,Paper,COD,2024-05-30,Karen Johnson,New York,Rochester,2024-05
B-26703,4206.0,1821.0,17,Electronics,Electronic Games,EMI,2022-01-23,Juan Erickson,Texas,Austin,2022-01
B-26232,5219.0,1180.0,20,Office Supplies,Binders,COD,2021-12-17,Alexander Reed,New York,New York City,2021-12
B-26232,5219.0,1180.0,20,Office Supplies,Binders,COD,2023-02-03,Jacqueline Harris,California,San Francisco,2023-02
B-25394,3686.0,760.0,20,Office Supplies,Pens,Debit Card,2022-10-30,Tyler Park,California,San Francisco,2022-10
B-25394,3686.0,760.0,20,Office Supplies,Pens,Debit Card,2022-01-15,Richard Wolfe,Ohio,Columbus,2022-01
B-26157,6045.0,1606.0,4,Office Supplies,Paper,COD,2023-12-14,Sierra Rios,Florida,Orlando,2023-12
B-26157,9337.0,554.0,11,Office Supplies,Pens,COD,2023-12-14,Sierra Rios,Florida,Orlando,2023-12
B-25555,4051.0,1848.0,12,Electronics,Phones,Credit Card,2023-07-03,Jessica Richardson,California,San Diego,2023-07
B-25555,4051.0,1848.0,12,Electronics,Phones,Credit Card,2021-05-08,Kimberly Warren,Ohio,Cincinnati,2021-05
B-25555,5011.0,866.0,11,Furniture,Bookcases,Credit Card,2023-07-03,Jessica Richardson,California,San Diego,2023-07
B-25555,5011.0,866.0,11,Furniture,Bookcases,Credit Card,2021-05-08,Kimberly Warren,Ohio,Cincinnati,2021-05
B-26139,3958.0,630.0,15,Furniture,Sofas,EMI,2022-10-07,Casey Garcia,Florida,Orlando,2022-10
B-26139,3132.0,963.0,1,Furniture,Tables,Debit Card,2022-10-07,Casey Garcia,Florida,Orlando,2022-10
B-25032,7784.0,2937.0,12,Office Supplies,Markers,UPI,2024-08-06,Denise Hampton,California,San Francisco,2024-08
B-25032,5591.0,1696.0,3,Office Supplies,Pens,COD,2024-08-06,Denise Hampton,California,San Francisco,2024-08
B-25032,5122.0,2413.0,12,Electronics,Electronic Games,COD,2024-08-06,Denise Hampton,California,San Francisco,2024-08
B-25730,8293.0,2632.0,8,Office Supplies,Binders,COD,2022-01-05,Justin Rodriguez,Ohio,Cleveland,2022-01
B-25730,8293.0,2632.0,8,Office Supplies,Binders,COD,2020-10-17,Ms. Emily Baxter,New York,Rochester,2020-10
B-25730,8293.0,2632.0,8,Office Supplies,Binders,COD,2023-08-21,Austin White,California,Los Angeles,2023-08
B-25730,2863.0,205.0,17,Electronics,Phones,UPI,2022-01-05,Justin Rodriguez,Ohio,Cleveland,2022-01
B-25730,2863.0,205.0,17,Electronics,Phones,UPI,2020-10-17,Ms. Emily Baxter,New York,Rochester,2020-10
B-25730,2863.0,205.0,17,Electronics,Phones,UPI,2023-08-21,Austin White,California,Los Angeles,2023-08
B-26470,3090.0,573.0,6,Furniture,Tables,EMI,2024-12-27,Morgan Montes,California,San Diego,2024-12
B-26470,3090.0,573.0,6,Furniture,Tables,EMI,2021-06-18,Christine Mosley,Ohio,Cincinnati,2021-06
B-26470,3090.0,573.0,6,Furniture,Tables,EMI,2023-05-27,Ashley Rodriguez,Texas,Austin,2023-05
B-26470,3090.0,573.0,6,Furniture,Tables,EMI,2021-10-12,Elizabeth King,Texas,Dallas,2021-10
B-26470,9683.0,1014.0,5,Electronics,Printers,UPI,2024-12-27,Morgan Montes,California,San Diego,2024-12
B-26470,9683.0,1014.0,5,Electronics,Printers,UPI,2021-06-18,Christine Mosley,Ohio,Cincinnati,2021-06
B-26470,9683.0,1014.0,5,Electronics,Printers,UPI,2023-05-27,Ashley Rodriguez,Texas,Austin,2023-05
B-26470,9683.0,1014.0,5,Electronics,Printers,UPI,2021-10-12,Elizabeth King,Texas,Dallas,2021-10
B-25988,2463.0,648.0,18,Furniture,Tables,EMI,2022-09-19,Connie Holmes,Ohio,Cincinnati,2022-09
B-25568,7811.0,1538.0,12,Furniture,Sofas,COD,2022-03-25,Melissa Peck,Florida,Miami,2022-03
B-26730,6139.0,451.0,10,Furniture,Tables,Debit Card,2022-02-26,David Smith,Florida,Orlando,2022-02
B-26730,6139.0,451.0,10,Furniture,Tables,Debit Card,2021-04-05,Jacqueline Harris,Texas,Houston,2021-04
B-26730,8636.0,3192.0,3,Furniture,Chairs,COD,2022-02-26,David Smith,Florida,Orlando,2022-02
B-26730,8636.0,3192.0,3,Furniture,Chairs,COD,2021-04-05,Jacqueline Harris,Texas,Houston,2021-04
B-26730,4439.0,1712.0,19,Furniture,Sofas,Credit Card,2022-02-26,David Smith,Florida,Orlando,2022-02
B-26730,4439.0,1712.0,19,Furniture,Sofas,Credit Card,2021-04-05,Jacqueline Harris,Texas,Houston,2021-04
B-25372,1016.0,172.0,20,Furniture,Tables,Debit Card,2020-11-16,Heather Jenkins,New York,Buffalo,2020-11
B-25372,5768.0,2059.0,14,Furniture,Tables,UPI,2020-11-16,Heather Jenkins,New York,Buffalo,2020-11
B-25372,1217.0,151.0,3,Furniture,Tables,Credit Card,2020-11-16,Heather Jenkins,New York,Buffalo,2020-11
B-26026,953.0,93.0,2,Office Supplies,Paper,Debit Card,2024-12-12,Kelsey Castaneda,Ohio,Cleveland,2024-12
B-26026,953.0,93.0,2,Office Supplies,Paper,Debit Card,2023-04-06,Katherine Harris,California,Los Angeles,2023-04
B-26026,7355.0,1034.0,3,Furniture,Sofas,COD,2024-12-12,Kelsey Castaneda,Ohio,Cleveland,2024-12
B-26026,7355.0,1034.0,3,Furniture,Sofas,COD,2023-04-06,Katherine Harris,California,Los Angeles,2023-04
B-26026,1843.0,248.0,3,Electronics,Phones,Credit Card,2024-12-12,Kelsey Castaneda,Ohio,Cleveland,2024-12
B-26026,1843.0,248.0,3,Electronics,Phones,Credit Card,2023-04-06,Katherine Harris,California,Los Angeles,2023-04
B-26026,1603.0,361.0,10,Office Supplies,Pens,Debit Card,2024-12-12,Kelsey Castaneda,Ohio,Cleveland,2024-12
B-26026,1603.0,361.0,10,Office Supplies,Pens,Debit Card,2023-04-06,Katherine Harris,California,Los Angeles,2023-04
B-25295,2025.0,528.0,1,Office Supplies,Pens,Credit Card,2024-01-28,Paul Rogers,Florida,Miami,2024-01
B-25295,6800.0,167.0,16,Office Supplies,Binders,EMI,2024-01-28,Paul Rogers,Florida,Miami,2024-01
B-26121,1126.0,55.0,1,Furniture,Bookcases,UPI,2022-01-16,Jon Banks,Florida,Tampa,2022-01
B-26121,1126.0,55.0,1,Furniture,Bookcases,UPI,2022-12-16,Michelle Williams,New York,Buffalo,2022-12
B-25560,7533.0,3508.0,12,Furniture,Tables,UPI,2023-07-13,Andrew Allen,California,San Diego,2023-07
B-25560,4734.0,1178.0,16,Office Supplies,Binders,Credit Card,2023-07-13,Andrew Allen,California,San Diego,2023-07
B-25560,4074.0,1175.0,6,Electronics,Electronic Games,Debit Card,2023-07-13,Andrew Allen,California,San Diego,2023-07
B-25560,2334.0,484.0,3,Furniture,Sofas,Credit Card,2023-07-13,Andrew Allen,California,San Diego,2023-07
B-26076,2750.0,1239.0,11,Electronics,Phones,Debit Card,2025-03-10,Vanessa Bauer,New York,Buffalo,2025-03
B-26076,2750.0,1239.0,11,Electronics,Phones,Debit Card,2024-09-24,Sean Smith,Ohio,Cleveland,2024-09
B-26076,8639.0,3104.0,19,Office Supplies,Pens,EMI,2025-03-10,Vanessa Bauer,New York,Buffalo,2025-03
B-26076,8639.0,3104.0,19,Office Supplies,Pens,EMI,2024-09-24,Sean Smith,Ohio,Cleveland,2024-09
B-25872,3808.0,1192.0,4,Office Supplies,Markers,UPI,2020-04-13,Shelly Sweeney,New York,New York City,2020-04
B-25872,2588.0,705.0,16,Office Supplies,Pens,Credit Card,2020-04-13,Shelly Sweeney,New York,New York City,2020-04
B-26185,1591.0,727.0,5,Electronics,Electronic Games,Credit Card,2022-06-27,Emily Gill,Illinois,Springfield,2022-06
B-26185,1591.0,727.0,5,Electronics,Electronic Games,Credit Card,2021-03-14,Brian Patrick,Florida,Tampa,2021-03
B-26185,1591.0,727.0,5,Electronics,Electronic Games,Credit Card,2022-02-23,Dr. Sarah Booth,Ohio,Cincinnati,2022-02
B-26259,1757.0,622.0,10,Furniture,Chairs,UPI,2022-03-29,Douglas Mcfarland,Ohio,Cleveland,2022-03
B-26259,1757.0,622.0,10,Furniture,Chairs,UPI,2022-11-20,Kayla Ross,Illinois,Peoria,2022-11
B-25142,6940.0,253.0,15,Furniture,Bookcases,Debit Card,2021-11-12,Marc Strickland,Florida,Orlando,2021-11
B-25142,5105.0,465.0,5,Electronics,Printers,UPI,2021-11-12,Marc Strickland,Florida,Orlando,2021-11
B-25326,5578.0,277.0,16,Furniture,Tables,COD,2021-08-17,Charlene Brown,Florida,Miami,2021-08
B-25326,5578.0,277.0,16,Furniture,Tables,COD,2022-05-16,Charles Smith,Ohio,Columbus,2022-05
B-26795,5224.0,1958.0,16,Furniture,Chairs,Credit Card,2023-07-16,Karen Townsend,Texas,Houston,2023-07
B-26795,5002.0,1801.0,11,Office Supplies,Markers,Credit Card,2023-07-16,Karen Townsend,Texas,Houston,2023-07
B-26795,7380.0,1673.0,18,Office Supplies,Markers,COD,2023-07-16,Karen Townsend,Texas,Houston,2023-07
B-25660,7595.0,2873.0,4,Furniture,Chairs,Debit Card,2020-08-18,Steven Cox,California,Los Angeles,2020-08
B-25660,7595.0,2873.0,4,Furniture,Chairs,Debit Card,2022-04-19,Cynthia Rodriguez,New York,Rochester,2022-04
B-25410,1954.0,294.0,7,Furniture,Sofas,Debit Card,2022-12-23,Jessica Baker,Texas,Austin,2022-12
B-25690,523.0,95.0,20,Electronics,Printers,EMI,2024-12-07,Mark Blackburn,Texas,Dallas,2024-12
B-26464,5704.0,714.0,13,Electronics,Laptops,EMI,2022-02-03,Zachary Perez,Texas,Austin,2022-02
B-26464,5704.0,714.0,13,Electronics,Laptops,EMI,2021-12-12,Brian Green,California,San Diego,2021-12
B-26464,8797.0,1010.0,8,Furniture,Tables,UPI,2022-02-03,Zachary Perez,Texas,Austin,2022-02
B-26464,8797.0,1010.0,8,Furniture,Tables,UPI,2021-12-12,Brian Green,California,San Diego,2021-12
B-26464,9236.0,2899.0,5,Electronics,Laptops,Debit Card,2022-02-03,Zachary Perez,Texas,Austin,2022-02
B-26464,9236.0,2899.0,5,Electronics,Laptops,Debit Card,2021-12-12,Brian Green,California,San Diego,2021-12
B-26454,9109.0,586.0,17,Furniture,Sofas,EMI,2020-05-17,Becky Leach,Florida,Miami,2020-05
B-26742,4358.0,526.0,19,Electronics,Phones,Credit Card,2022-12-05,Bryan Russell,Texas,Dallas,2022-12
B-26742,4358.0,526.0,19,Electronics,Phones,Credit Card,2024-09-17,Tony Maddox,California,San Francisco,2024-09
B-26742,6459.0,825.0,8,Electronics,Phones,Credit Card,2022-12-05,Bryan Russell,Texas,Dallas,2022-12
B-26742,6459.0,825.0,8,Electronics,Phones,Credit Card,2024-09-17,Tony Maddox,California,San Francisco,2024-09
B-25510,2478.0,92.0,12,Furniture,Bookcases,COD,2023-05-08,Jason Randolph,California,San Francisco,2023-05
B-25510,2478.0,92.0,12,Furniture,Bookcases,COD,2021-03-03,Laura Andrews,New York,New York City,2021-03
B-25510,2478.0,92.0,12,Furniture,Bookcases,COD,2021-03-18,Mrs. Stephanie Hooper,California,San Francisco,2021-03
B-25510,2478.0,92.0,12,Furniture,Bookcases,COD,2023-04-24,Anthony Evans,Ohio,Cleveland,2023-04
B-25936,9992.0,3696.0,20,Office Supplies,Pens,Debit Card,2021-10-09,Patrick Williams,New York,Rochester,2021-10
B-25936,9992.0,3696.0,20,Office Supplies,Pens,Debit Card,2022-04-15,Susan Burke,Texas,Austin,2022-04
B-25936,9992.0,3696.0,20,Office Supplies,Pens,Debit Card,2022-08-29,Brent Hernandez,New York,Rochester,2022-08
B-25936,9619.0,3420.0,7,Office Supplies,Binders,UPI,2021-10-09,Patrick Williams,New York,Rochester,2021-10
B-25936,9619.0,3420.0,7,Office Supplies,Binders,UPI,2022-04-15,Susan Burke,Texas,Austin,2022-04
B-25936,9619.0,3420.0,7,Office Supplies,Binders,UPI,2022-08-29,Brent Hernandez,New York,Rochester,2022-08
B-25884,9538.0,3158.0,20,Electronics,Printers,Credit Card,2024-09-04,Sean Elliott,California,San Francisco,2024-09
B-25884,9538.0,3158.0,20,Electronics,Printers,Credit Card,2021-05-18,Wanda West,Ohio,Cleveland,2021-05
B-25884,9035.0,1227.0,14,Furniture,Chairs,EMI,2024-09-04,Sean Elliott,California,San Francisco,2024-09
B-25884,9035.0,1227.0,14,Furniture,Chairs,EMI,2021-05-18,Wanda West,Ohio,Cleveland,2021-05
B-26287,2684.0,670.0,2,Office Supplies,Paper,COD,2024-07-02,Renee Solomon,Florida,Tampa,2024-07
B-26287,822.0,147.0,5,Furniture,Sofas,Credit Card,2024-07-02,Renee Solomon,Florida,Tampa,2024-07
B-26287,9730.0,2341.0,2,Furniture,Chairs,EMI,2024-07-02,Renee Solomon,Florida,Tampa,2024-07
B-26287,2483.0,236.0,2,Electronics,Electronic Games,COD,2024-07-02,Renee Solomon,Florida,Tampa,2024-07
B-26564,1297.0,600.0,7,Office Supplies,Binders,Credit Card,2024-02-16,Daryl Miles,Florida,Orlando,2024-02
B-26564,7909.0,1942.0,19,Electronics,Phones,COD,2024-02-16,Daryl Miles,Florida,Orlando,2024-02
B-26293,9768.0,4518.0,8,Furniture,Tables,Credit Card,2021-11-26,Michael Hunt,Texas,Dallas,2021-11
B-26293,4968.0,934.0,5,Furniture,Sofas,Debit Card,2021-11-26,Michael Hunt,Texas,Dallas,2021-11
B-26293,1731.0,149.0,4,Electronics,Laptops,EMI,2021-11-26,Michael Hunt,Texas,Dallas,2021-11
B-25915,3433.0,1169.0,10,Office Supplies,Binders,COD,2024-02-01,Adam Clark,California,San Francisco,2024-02
B-25915,3433.0,1169.0,10,Office Supplies,Binders,COD,2021-09-09,Amy Olsen,Illinois,Springfield,2021-09
B-25915,3433.0,1169.0,10,Office Supplies,Binders,COD,2021-09-08,Stacey Miller,California,San Diego,2021-09
B-25915,3887.0,1490.0,1,Office Supplies,Binders,Debit Card,2024-02-01,Adam Clark,California,San Francisco,2024-02
B-25915,3887.0,1490.0,1,Office Supplies,Binders,Debit Card,2021-09-09,Amy Olsen,Illinois,Springfield,2021-09
B-25915,3887.0,1490.0,1,Office Supplies,Binders,Debit Card,2021-09-08,Stacey Miller,California,San Diego,2021-09
B-26496,1801.0,641.0,20,Office Supplies,Markers,Credit Card,2024-07-09,Daniel Mosley,California,Los Angeles,2024-07
B-26496,5301.0,817.0,10,Furniture,Tables,Debit Card,2024-07-09,Daniel Mosley,California,Los Angeles,2024-07
B-26496,1166.0,520.0,12,Office Supplies,Paper,Debit Card,2024-07-09,Daniel Mosley,California,Los Angeles,2024-07
B-26496,3196.0,1411.0,15,Office Supplies,Paper,Debit Card,2024-07-09,Daniel Mosley,California,Los Angeles,2024-07
B-25856,3428.0,350.0,1,Furniture,Chairs,Credit Card,2023-02-28,Monica Gibson,Illinois,Springfield,2023-02
B-25856,7223.0,2433.0,12,Office Supplies,Binders,Credit Card,2023-02-28,Monica Gibson,Illinois,Springfield,2023-02
B-25856,3731.0,647.0,1,Office Supplies,Pens,Credit Card,2023-02-28,Monica Gibson,Illinois,Springfield,2023-02
B-26899,8903.0,4401.0,18,Office Supplies,Pens,Credit Card,2022-08-08,Christopher Jordan,Ohio,Columbus,2022-08
B-25916,6009.0,2107.0,7,Electronics,Phones,UPI,2022-12-07,Christina Davis,Illinois,Chicago,2022-12
B-25916,6009.0,2107.0,7,Electronics,Phones,UPI,2024-04-29,Claudia Curry,Texas,Austin,2024-04
B-25916,2858.0,230.0,3,Furniture,Tables,Credit Card,2022-12-07,Christina Davis,Illinois,Chicago,2022-12
B-25916,2858.0,230.0,3,Furniture,Tables,Credit Card,2024-04-29,Claudia Curry,Texas,Austin,2024-04
B-25916,8175.0,525.0,7,Furniture,Sofas,Credit Card,2022-12-07,Christina Davis,Illinois,Chicago,2022-12
B-25916,8175.0,525.0,7,Furniture,Sofas,Credit Card,2024-04-29,Claudia Curry,Texas,Austin,2024-04
B-25916,5846.0,586.0,18,Furniture,Sofas,UPI,2022-12-07,Christina Davis,Illinois,Chicago,2022-12
B-25916,5846.0,586.0,18,Furniture,Sofas,UPI,2024-04-29,Claudia Curry,Texas,Austin,2024-04
B-26428,706.0,197.0,11,Electronics,Laptops,Credit Card,2022-01-02,Brandon Anderson,Texas,Austin,2022-01
B-26332,9835.0,2571.0,16,Furniture,Tables,COD,2022-06-10,George Foster,Texas,Dallas,2022-06
B-26332,9835.0,2571.0,16,Furniture,Tables,COD,2021-11-16,Nicholas Anderson,Florida,Orlando,2021-11
B-26332,9835.0,2571.0,16,Furniture,Tables,COD,2022-08-17,Emily Ellison,California,Los Angeles,2022-08
B-26332,9691.0,3056.0,13,Office Supplies,Markers,Credit Card,2022-06-10,George Foster,Texas,Dallas,2022-06
B-26332,9691.0,3056.0,13,Office Supplies,Markers,Credit Card,2021-11-16,Nicholas Anderson,Florida,Orlando,2021-11
B-26332,9691.0,3056.0,13,Office Supplies,Markers,Credit Card,2022-08-17,Emily Ellison,California,Los Angeles,2022-08
B-26332,7826.0,1221.0,14,Furniture,Bookcases,UPI,2022-06-10,George Foster,Texas,Dallas,2022-06
B-26332,7826.0,1221.0,14,Furniture,Bookcases,UPI,2021-11-16,Nicholas Anderson,Florida,Orlando,2021-11
B-26332,7826.0,1221.0,14,Furniture,Bookcases,UPI,2022-08-17,Emily Ellison,California,Los Angeles,2022-08
B-25303,770.0,241.0,11,Furniture,Sofas,COD,2021-11-23,Darren Perez,Texas,Austin,2021-11
B-25303,770.0,241.0,11,Furniture,Sofas,COD,2023-03-04,Michelle Hunter,Ohio,Cincinnati,2023-03
B-26507,9895.0,1598.0,20,Furniture,Bookcases,COD,2023-12-16,Janet Guerrero,New York,Rochester,2023-12
B-25983,6517.0,1581.0,10,Office Supplies,Paper,Debit Card,2024-05-19,Jeffrey Kline,Florida,Miami,2024-05
B-25983,6517.0,1581.0,10,Office Supplies,Paper,Debit Card,2020-05-14,Ryan Bullock,Florida,Tampa,2020-05
B-25983,1166.0,349.0,11,Furniture,Tables,Credit Card,2024-05-19,Jeffrey Kline,Florida,Miami,2024-05
B-25983,1166.0,349.0,11,Furniture,Tables,Credit Card,2020-05-14,Ryan Bullock,Florida,Tampa,2020-05
B-25156,9820.0,793.0,16,Furniture,Chairs,Credit Card,2021-08-29,Tom Lawson,New York,Buffalo,2021-08
B-26759,8563.0,2624.0,8,Office Supplies,Binders,COD,2024-11-10,Rebecca Smith,Texas,Dallas,2024-11
B-26759,4441.0,281.0,20,Electronics,Printers,COD,2024-11-10,Rebecca Smith,Texas,Dallas,2024-11
B-26244,7340.0,2271.0,8,Office Supplies,Paper,EMI,2021-12-05,William Welch,Florida,Orlando,2021-12
B-26244,5442.0,1610.0,1,Electronics,Phones,EMI,2021-12-05,William Welch,Florida,Orlando,2021-12
B-26365,1895.0,391.0,14,Furniture,Tables,UPI,2024-07-05,Mr. Curtis Bailey,Florida,Tampa,2024-07
B-26365,5323.0,322.0,13,Office Supplies,Binders,COD,2024-07-05,Mr. Curtis Bailey,Florida,Tampa,2024-07
B-26212,8850.0,279.0,13,Office Supplies,Markers,Debit Card,2024-06-25,Janet Carlson,Florida,Miami,2024-06
B-26212,8667.0,1266.0,6,Office Supplies,Paper,Debit Card,2024-06-25,Janet Carlson,Florida,Miami,2024-06
B-25042,6903.0,105.0,1,Furniture,Tables,COD,2024-05-31,Spencer Spears,Illinois,Chicago,2024-05
B-25042,8793.0,3010.0,7,Office Supplies,Pens,COD,2024-05-31,Spencer Spears,Illinois,Chicago,2024-05
B-25901,9883.0,4812.0,16,Office Supplies,Paper,UPI,2020-10-20,Jeffrey Middleton,New York,Buffalo,2020-10
B-25901,9883.0,4812.0,16,Office Supplies,Paper,UPI,2022-08-11,Veronica Kelley,Florida,Orlando,2022-08
B-25901,9883.0,4812.0,16,Office Supplies,Paper,UPI,2021-10-17,Leslie Bean,Illinois,Springfield,2021-10
B-25901,5210.0,1185.0,7,Office Supplies,Paper,UPI,2020-10-20,Jeffrey Middleton,New York,Buffalo,2020-10
B-25901,5210.0,1185.0,7,Office Supplies,Paper,UPI,2022-08-11,Veronica Kelley,Florida,Orlando,2022-08
B-25901,5210.0,1185.0,7,Office Supplies,Paper,UPI,2021-10-17,Leslie Bean,Illinois,Springfield,2021-10
B-26747,3574.0,851.0,4,Electronics,Printers,Credit Card,2022-02-23,Amy Wilson,California,Los Angeles,2022-02
B-26747,576.0,76.0,13,Furniture,Sofas,UPI,2022-02-23,Amy Wilson,California,Los Angeles,2022-02
B-26698,1860.0,457.0,13,Electronics,Printers,EMI,2023-09-20,Susan Ramirez,Ohio,Cleveland,2023-09
B-25841,782.0,374.0,8,Office Supplies,Pens,EMI,2021-01-19,Jacob Meyer,Illinois,Peoria,2021-01
B-25841,4371.0,1852.0,1,Electronics,Laptops,UPI,2021-01-19,Jacob Meyer,Illinois,Peoria,2021-01
B-26032,8346.0,1176.0,1,Electronics,Phones,COD,2020-08-21,Scott Lewis,Texas,Houston,2020-08
B-26032,8346.0,1176.0,1,Electronics,Phones,COD,2023-04-17,Eric Griffith,Illinois,Chicago,2023-04
B-26032,8346.0,1176.0,1,Electronics,Phones,COD,2023-12-24,Anna Ferguson,California,San Francisco,2023-12
B-26032,6218.0,1125.0,5,Furniture,Tables,Debit Card,2020-08-21,Scott Lewis,Texas,Houston,2020-08
B-26032,6218.0,1125.0,5,Furniture,Tables,Debit Card,2023-04-17,Eric Griffith,Illinois,Chicago,2023-04
B-26032,6218.0,1125.0,5,Furniture,Tables,Debit Card,2023-12-24,Anna Ferguson,California,San Francisco,2023-12
B-26032,5167.0,253.0,14,Electronics,Printers,Credit Card,2020-08-21,Scott Lewis,Texas,Houston,2020-08
B-26032,5167.0,253.0,14,Electronics,Printers,Credit Card,2023-04-17,Eric Griffith,Illinois,Chicago,2023-04
B-26032,5167.0,253.0,14,Electronics,Printers,Credit Card,2023-12-24,Anna Ferguson,California,San Francisco,2023-12
B-26032,2799.0,1239.0,5,Furniture,Sofas,Debit Card,2020-08-21,Scott Lewis,Texas,Houston,2020-08
B-26032,2799.0,1239.0,5,Furniture,Sofas,Debit Card,2023-04-17,Eric Griffith,Illinois,Chicago,2023-04
B-26032,2799.0,1239.0,5,Furniture,Sofas,Debit Card,2023-12-24,Anna Ferguson,California,San Francisco,2023-12
B-25171,3234.0,1029.0,20,Office Supplies,Markers,Credit Card,2022-03-20,David Figueroa,Florida,Miami,2022-03
B-26939,4920.0,775.0,12,Furniture,Tables,Debit Card,2021-08-12,Theresa Medina,Illinois,Springfield,2021-08
B-26939,9078.0,2213.0,15,Furniture,Bookcases,EMI,2021-08-12,Theresa Medina,Illinois,Springfield,2021-08
B-26347,8586.0,3826.0,7,Furniture,Bookcases,UPI,2020-12-21,Mary Smith,Florida,Miami,2020-12
B-26347,8586.0,3826.0,7,Furniture,Bookcases,UPI,2023-07-07,Lance Cain,Florida,Tampa,2023-07
B-25388,5047.0,2211.0,13,Furniture,Sofas,EMI,2023-08-13,Alexandra Moran,California,San Francisco,2023-08
B-25388,5047.0,2211.0,13,Furniture,Sofas,EMI,2021-02-04,Sara Castro,Illinois,Chicago,2021-02
B-25388,5047.0,2211.0,13,Furniture,Sofas,EMI,2022-09-16,Shawn Leach,Illinois,Peoria,2022-09
B-25388,5047.0,2211.0,13,Furniture,Sofas,EMI,2022-05-06,Mark Boyle,New York,Buffalo,2022-05
B-26419,3657.0,163.0,1,Furniture,Sofas,UPI,2021-05-28,John Stevens,California,San Francisco,2021-05
B-25157,6471.0,2842.0,18,Electronics,Electronic Games,UPI,2024-07-18,Lisa Graham,Illinois,Peoria,2024-07
B-25342,949.0,301.0,9,Office Supplies,Binders,UPI,2024-12-06,Nancy Jones,Ohio,Cleveland,2024-12
B-25342,6823.0,771.0,6,Office Supplies,Binders,EMI,2024-12-06,Nancy Jones,Ohio,Cleveland,2024-12
B-25342,4364.0,831.0,2,Furniture,Tables,EMI,2024-12-06,Nancy Jones,Ohio,Cleveland,2024-12
B-26165,6671.0,2797.0,10,Electronics,Phones,UPI,2022-12-12,Darryl Robbins,Illinois,Peoria,2022-12
B-26571,7472.0,1037.0,3,Office Supplies,Paper,COD,2022-10-20,Kimberly Smith,Illinois,Springfield,2022-10
B-26571,9548.0,1806.0,9,Electronics,Printers,COD,2022-10-20,Kimberly Smith,Illinois,Springfield,2022-10
B-25400,7759.0,3741.0,17,Electronics,Printers,UPI,2021-03-24,Maria Thomas,Florida,Miami,2021-03
